imo,latitude,longitude,speed,positiontimestamp
9131137,20.5898333333333,71.2171666666667,9.4,2018-08-10 13:52:22.062000
9131137,20.6633333333333,71.3973333333333,10.7,2018-08-10 14:56:02.965000
9131137,21.2115,72.2161666666667,15.9,2018-08-10 19:56:07.645000
9131137,21.418,72.3656666666667,15.8,2018-08-10 20:54:31.823000
9131137,21.5911666666667,72.4126666666667,6.4,2018-08-10 21:57:19.595000
9131137,21.6536666666667,72.4175,3.7,2018-08-10 22:40:41.536000
9131137,21.662,72.4218333333333,0.3,2018-08-11 09:29:10.027000
9131137,21.3826666666667,72.2415,0.1,2018-08-13 22:42:49.022000
9131137,21.3826666666667,72.2416666666667,0.1,2018-08-13 21:48:50.119000
9131137,21.3811666666667,72.2406666666667,0.4,2018-08-13 20:30:50.344000
9131137,21.3755,72.2376666666667,0.1,2018-08-13 18:12:50.572000
9131137,21.3755,72.2376666666667,0.1,2018-08-13 17:48:51.149000
9131137,21.3756666666667,72.2378333333333,0,2018-08-13 16:18:49.560000
9131137,21.3755,72.2378333333333,0.1,2018-08-13 15:54:47.969000
9131137,21.372,72.2491666666667,5.7,2018-08-13 14:57:16.674000
9131137,21.4786666666667,72.3938333333333,12.5,2018-08-13 13:58:37.296000
9131137,21.3818333333333,72.24,0.1,2018-08-14 22:30:48.300000
9131137,21.381,72.2401666666667,0.2,2018-08-14 21:42:49.616000
9131137,21.3803333333333,72.2386666666667,0.1,2018-08-14 20:54:50.006000
9131137,21.3755,72.2378333333333,0,2018-08-14 19:00:49.068000
9131137,21.3755,72.238,0.1,2018-08-14 18:00:49.190000
9131137,21.3755,72.238,0,2018-08-14 16:42:48.729000
9131137,21.3756666666667,72.2383333333333,0.1,2018-08-14 15:54:51.708000
9131137,21.3825,72.242,0.1,2018-08-14 13:54:48.930000
9131137,21.3831666666667,72.2413333333333,0.3,2018-08-14 12:54:51.067000
9131137,21.3833333333333,72.2406666666667,0.1,2018-08-14 11:54:47.723000
9131137,21.383,72.2413333333333,0.5,2018-08-14 10:54:49.686000
9131137,21.3831666666667,72.241,0.5,2018-08-14 09:54:48.878000
9131137,21.3815,72.24,0.2,2018-08-14 08:24:50.777000
9131137,21.3815,72.2388333333333,0.9,2018-08-14 07:54:49.695000
9131137,21.376,72.238,0.1,2018-08-14 06:54:50.995000
9131137,21.3756666666667,72.2383333333333,0.1,2018-08-14 05:54:48.145000
9131137,21.3756666666667,72.2383333333333,0.1,2018-08-14 04:54:49.090000
9131137,21.377,72.2391666666667,0.2,2018-08-14 03:54:51.098000
9131137,21.3818333333333,72.2416666666667,0.2,2018-08-14 02:06:49.261000
9131137,21.3821666666667,72.2415,0.1,2018-08-14 01:48:48.529000
9131137,21.3826666666667,72.2415,0,2018-08-14 00:42:48.080000
9131137,21.3825,72.2418333333333,0.2,2018-08-13 23:54:50.473000
9131137,21.3825,72.2401666666667,0.2,2018-08-15 22:54:47.793000
9131137,21.3765,72.238,0.1,2018-08-15 21:06:49.427000
9131137,21.3763333333333,72.2376666666667,0.1,2018-08-15 20:36:48.718000
9131137,21.3763333333333,72.2376666666667,0,2018-08-15 19:54:49.358000
9131137,21.3761666666667,72.2376666666667,0.1,2018-08-15 18:54:48.698000
9131137,21.3763333333333,72.2378333333333,0.1,2018-08-15 17:48:49.412000
9131137,21.3765,72.2378333333333,0,2018-08-15 16:48:50.846000
9131137,21.3766666666667,72.2378333333333,0.1,2018-08-15 15:54:48.165000
9131137,21.3821666666667,72.2405,0.2,2018-08-15 14:54:50.305000
9131137,21.3825,72.2401666666667,0.1,2018-08-15 13:48:50.462000
9131137,21.3826666666667,72.2401666666667,0.3,2018-08-15 12:54:51.521000
9131137,21.3825,72.2406666666667,0.2,2018-08-15 11:42:49.213000
9131137,21.3825,72.24,0.3,2018-08-15 10:54:48.709000
9131137,21.3826666666667,72.2403333333333,0.2,2018-08-15 09:42:51.362000
9131137,21.3805,72.2373333333333,0.4,2018-08-15 08:42:50.854000
9131137,21.3761666666667,72.2373333333333,0.1,2018-08-15 07:48:48.013000
9131137,21.3758333333333,72.2376666666667,0.2,2018-08-15 06:54:50.799000
9131137,21.3763333333333,72.2373333333333,0.3,2018-08-15 05:54:50.764000
9131137,21.3768333333333,72.238,0.6,2018-08-15 04:42:47.776000
9131137,21.3775,72.2385,0.1,2018-08-15 03:54:49.801000
9131137,21.3825,72.2398333333333,0.1,2018-08-15 02:24:48.092000
9131137,21.3825,72.2403333333333,0,2018-08-15 01:48:48.168000
9131137,21.3826666666667,72.2403333333333,0.2,2018-08-14 23:54:47.816000
9131137,21.3826666666667,72.2403333333333,0.1,2018-08-15 23:54:49.692000
9131137,21.3823333333333,72.2408333333333,0.1,2018-08-16 00:54:49.001000
9131137,21.3825,72.2405,0.3,2018-08-16 01:42:48.314000
9131137,21.3823333333333,72.2405,0,2018-08-16 02:42:49.458000
9131137,21.379,72.2416666666667,0.9,2018-08-16 03:48:49.251000
9131137,21.377,72.239,0.1,2018-08-16 04:54:48.490000
9131137,21.3766666666667,72.2383333333333,0.4,2018-08-16 05:54:48.507000
9131137,21.3756666666667,72.2383333333333,0.4,2018-08-16 06:30:48.997000
9131137,21.3756666666667,72.2376666666667,0,2018-08-16 07:54:48.662000
9131137,21.3765,72.2368333333333,0.1,2018-08-16 08:54:51.549000
9131137,21.3806666666667,72.2385,0.3,2018-08-16 09:54:50.921000
9131137,21.3816666666667,72.24,0.2,2018-08-16 10:54:50.726000
9131137,21.382,72.24,0,2018-08-16 11:54:49.043000
9131137,21.3826666666667,72.24,0.4,2018-08-16 12:54:48.904000
9131137,21.3825,72.2403333333333,0.1,2018-08-16 13:54:47.892000
9131137,21.3821666666667,72.2408333333333,0.3,2018-08-16 14:54:49.387000
9131137,21.3805,72.2421666666667,0.2,2018-08-16 15:48:51.627000
9131137,21.3776666666667,72.2405,0.1,2018-08-16 16:54:51.221000
9131137,21.3756666666667,72.2391666666667,0.2,2018-08-16 17:54:50.860000
9131137,21.3758333333333,72.2383333333333,0.1,2018-08-16 18:24:49.535000
9131137,21.3758333333333,72.2378333333333,0.1,2018-08-16 19:24:48.310000
9131137,21.3756666666667,72.2385,0,2018-08-16 20:48:49.011000
9131137,21.3763333333333,72.2396666666667,0.2,2018-08-16 21:54:48.664000
9131137,21.381,72.2398333333333,0,2018-08-16 22:54:51.614000
9131137,21.3818333333333,72.241,0.1,2018-08-16 23:48:50.762000
9131137,21.382,72.2405,0.2,2018-08-17 00:54:49.782000
9131137,21.3816666666667,72.2411666666667,0.1,2018-08-17 01:42:48.952000
9131137,21.3815,72.2415,0.1,2018-08-17 02:54:51.008000
9131137,21.3805,72.2421666666667,0.1,2018-08-17 03:48:51.369000
9131137,21.3788333333333,72.2423333333333,0.1,2018-08-17 04:54:48.343000
9131137,21.3786666666667,72.2421666666667,0.2,2018-08-17 05:00:51.286000
9131137,21.3768333333333,72.2395,0.1,2018-08-17 06:54:47.821000
9131137,21.3758333333333,72.2385,0,2018-08-17 07:54:50.010000
9131137,21.3758333333333,72.2386666666667,0.2,2018-08-17 08:06:47.673000
9131137,21.3758333333333,72.2391666666667,0.1,2018-08-17 09:42:48.821000
9131137,21.376,72.2391666666667,0.1,2018-08-17 10:06:49.305000
9131137,21.3796666666667,72.2418333333333,0.1,2018-08-17 11:18:50.161000
9131137,21.381,72.2411666666667,0.1,2018-08-17 12:54:51.541000
9131137,21.3815,72.2401666666667,0.1,2018-08-17 13:54:50.867000
9131137,21.3815,72.2403333333333,0,2018-08-17 14:54:49.523000
9131137,21.3815,72.2398333333333,0,2018-08-17 15:42:50.845000
9131137,21.3766666666667,72.239,0,2018-08-17 17:54:51.170000
9131137,21.3766666666667,72.239,0.2,2018-08-17 18:30:48.107000
9131137,21.376,72.2385,0.2,2018-08-17 19:24:50.177000
9131137,21.376,72.2381666666667,0.1,2018-08-17 20:54:51.260000
9131137,21.3761666666667,72.2381666666667,0,2018-08-17 21:36:49.825000
9131137,21.3763333333333,72.2385,0.2,2018-08-17 22:30:49.161000
9131137,21.3811666666667,72.2403333333333,0.1,2018-08-17 23:48:47.996000
9131137,21.3813333333333,72.2405,0.2,2018-08-18 00:48:48.089000
9131137,21.3818333333333,72.2408333333333,0.5,2018-08-18 01:54:50.484000
9131137,21.382,72.2405,0,2018-08-18 02:54:51.319000
